ID,Squad,Year,Players,Age,Possession,MatchesPlayed,Starts,MinPlayingTime,Mins Played 90,Goals,Assists,Non Penalty Goals,PenaltyKicksMade,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals Per 90,Assists Per 90,Goals Plus Assists Per 90,goals minus penalty kicks per 90,goals plus assists minus penalty kicks per 90
119,Germany,1995,17,25.3,,6,66,540,6,13,0,13,0,0,,,2.17,0,2.17,2.17,2.17
120,Japan,1995,14,22.6,,4,44,360,4,2,0,2,0,0,,,0.5,0,0.5,0.5,0.5
121,Nigeria,1995,16,20.6,,3,33,270,3,5,0,5,0,0,,,1.67,0,1.67,1.67,1.67
122,Norway,1995,17,24.6,,6,66,540,6,23,0,23,0,0,,,3.83,0,3.83,3.83,3.83
123,Sweden,1995,18,27.5,,4,44,390,4.3,6,0,6,0,0,,,1.38,0,1.38,1.38,1.38
124,USA,1995,18,24.1,,6,66,540,6,15,4,15,0,0,,,2.5,0.67,3.17,2.5,3.17
125,Brazil,1991,17,25.7,,3,33,240,2.7,1,0,1,0,0,,,0.37,0,0.37,0.37,0.37
126,China PR,1991,15,22.1,,4,44,320,3.6,10,3,10,0,0,,,2.81,0.84,3.66,2.81,3.66
127,Chinese Taipei,1991,16,21.2,,4,44,320,3.6,2,1,2,0,0,,,0.56,0.28,0.84,0.56,0.84
128,Denmark,1991,15,23.8,,4,44,340,3.8,7,5,5,2,2,,,1.85,1.32,3.18,1.32,2.65
129,Germany,1991,18,23.8,,6,66,500,5.6,13,9,12,1,1,,,2.34,1.62,3.96,2.16,3.78
130,Italy,1991,17,24.2,,4,44,340,3.8,8,5,8,0,0,,,2.12,1.32,3.44,2.12,3.44
131,Japan,1991,13,24.3,,3,33,240,2.7,0,0,0,0,0,,,0,0,0,0,0
132,New Zealand,1991,15,25.5,,3,33,240,2.7,1,1,1,0,0,,,0.37,0.37,0.75,0.37,0.75
133,Nigeria,1991,17,18.2,,3,33,240,2.7,0,0,0,0,0,,,0,0,0,0,0
134,Norway,1991,15,24.1,,6,66,500,5.6,13,6,12,1,1,,,2.34,1.08,3.42,2.16,3.24
135,Sweden,1991,18,25.4,,6,66,480,5.3,17,11,16,1,1,,,3.19,2.06,5.25,3,5.06
136,USA,1991,16,23,,6,66,480,5.3,25,11,24,1,1,,,4.69,2.06,6.75,4.5,6.56
